timestamp,frame_num,robot_pos_x,robot_pos_y,robot_pos_z,robot_orient_w,robot_orient_x,robot_orient_y,robot_orient_z,object_pos_x,object_pos_y,object_pos_z,object_orient_w,object_orient_x,object_orient_y,object_orient_z
25.606,81,0.31988922,1.6698506,0.50052774,0.5750272,-0.0072880043,-9.4895004e-05,0.81810194,0.5387084380352152,0.4191678707973967,0.0,0.9890109114776291,0.0,0.0,0.1478425411652181
25.918,82,0.2513229,1.8522363,0.49176663,0.57575184,0.0071316753,-0.0064939335,0.8175676,0.5387084380352152,0.4191678707973967,0.0,0.9890109114776291,0.0,0.0,0.1478425411652181
26.244,83,0.18626046,2.0395696,0.49301913,0.5730953,0.0095208725,-0.00025204074,0.81943345,0.5387084380352152,0.4191678707973967,0.0,0.9890109114776291,0.0,0.0,0.1478425411652181
26.573,84,0.12482679,2.2301772,0.4987128,0.57202387,-0.0034886452,0.010429673,0.82016325,0.5387084380352152,0.4191678707973967,0.0,0.9890109114776291,0.0,0.0,0.1478425411652181
26.903,85,0.06338341,2.4159794,0.49932376,0.5725155,0.0044249324,0.0004161076,0.81988186,0.5387084380352152,0.4191678707973967,0.0,0.9890109114776291,0.0,0.0,0.1478425411652181
27.236,86,-0.007097706,2.6153202,0.50415957,0.5731697,-0.0071841814,0.0022454585,0.81940216,0.5387084380352152,0.4191678707973967,0.0,0.9890109114776291,0.0,0.0,0.1478425411652181
27.565,87,-0.07616411,2.802777,0.49968523,0.57223934,-0.0016497084,-0.0019344611,0.8200828,0.5387084380352152,0.4191678707973967,0.0,0.9890109114776291,0.0,0.0,0.1478425411652181
27.899,88,-0.14597023,2.9860017,0.4916919,0.57032615,0.014537335,-0.0042001954,0.8212789,0.5387084380352152,0.4191678707973967,0.0,0.9890109114776291,0.0,0.0,0.1478425411652181
28.215,89,-0.20518917,3.1663396,0.49431902,0.57064044,-0.0049682497,-0.004546701,0.8211724,0.5387084380352152,0.4191678707973967,0.0,0.9890109114776291,0.0,0.0,0.1478425411652181
28.528,90,-0.25797984,3.3103566,0.4949405,0.57220393,-0.0146587165,-0.0058157165,0.8199597,0.5387084380352152,0.4191678707973967,0.0,0.9890109114776291,0.0,0.0,0.1478425411652181
28.834,91,-0.31645444,3.4217439,0.49480188,0.5743001,-0.023251701,-0.014030949,0.8181943,0.5387084380352152,0.4191678707973967,0.0,0.9890109114776291,0.0,0.0,0.1478425411652181
29.133,92,-0.37249362,3.5075722,0.4883073,0.5739723,-0.011817151,-9.3312614e-05,0.8187894,0.5387084380352152,0.4191678707973967,0.0,0.9890109114776291,0.0,0.0,0.1478425411652181
29.455,93,-0.40063274,3.5690362,0.48638025,0.57126427,-0.0037403414,0.003961547,0.82074815,0.5387084380352152,0.4191678707973967,0.0,0.9890109114776291,0.0,0.0,0.1478425411652181
